P1,P2,Vencedor,Quem_Comecou,Total_Jogadas
P1_it1000_c1.41_mcAll_dNone_opt,P2_it1000_c1.41_mcAll_dNone_pure,P1_it1000_c1.41_mcAll_dNone_opt,P1_it1000_c1.41_mcAll_dNone_opt,7
P1_it1000_c1.41_mcAll_dNone_opt,P2_it1000_c1.41_mcAll_dNone_pure,P2_it1000_c1.41_mcAll_dNone_pure,P2_it1000_c1.41_mcAll_dNone_pure,17
P1_it1000_c1.41_mcAll_dNone_opt,P2_it1000_c1.41_mcAll_dNone_pure,P1_it1000_c1.41_mcAll_dNone_opt,P1_it1000_c1.41_mcAll_dNone_opt,7
P1_it1000_c1.41_mcAll_dNone_opt,P2_it1000_c1.41_mcAll_dNone_pure,P1_it1000_c1.41_mcAll_dNone_opt,P2_it1000_c1.41_mcAll_dNone_pure,20
P1_it1000_c1.41_mcAll_dNone_opt,P2_it1000_c1.41_mcAll_dNone_pure,P1_it1000_c1.41_mcAll_dNone_opt,P1_it1000_c1.41_mcAll_dNone_opt,7
P1_it1000_c1.41_mcAll_dNone_opt,P2_it1000_c1.41_mcAll_dNone_pure,P2_it1000_c1.41_mcAll_dNone_pure,P2_it1000_c1.41_mcAll_dNone_pure,21
P1_it1000_c1.41_mcAll_dNone_opt,P2_it1000_c1.41_mcAll_dNone_pure,P1_it1000_c1.41_mcAll_dNone_opt,P1_it1000_c1.41_mcAll_dNone_opt,21
P1_it1000_c1.41_mcAll_dNone_opt,P2_it1000_c1.41_mcAll_dNone_pure,P2_it1000_c1.41_mcAll_dNone_pure,P2_it1000_c1.41_mcAll_dNone_pure,29
P1_it1000_c1.41_mcAll_dNone_opt,P2_it1000_c1.41_mcAll_dNone_pure,P2_it1000_c1.41_mcAll_dNone_pure,P1_it1000_c1.41_mcAll_dNone_opt,18
P1_it1000_c1.41_mcAll_dNone_opt,P2_it1000_c1.41_mcAll_dNone_pure,P2_it1000_c1.41_mcAll_dNone_pure,P2_it1000_c1.41_mcAll_dNone_pure,21
P1_it1000_c1.41_mcAll_dNone_opt,P2_it1000_c1.41_mcAll_dNone_pure,P1_it1000_c1.41_mcAll_dNone_opt,P1_it1000_c1.41_mcAll_dNone_opt,7
P1_it1000_c1.41_mcAll_dNone_opt,P2_it1000_c1.41_mcAll_dNone_pure,P2_it1000_c1.41_mcAll_dNone_pure,P2_it1000_c1.41_mcAll_dNone_pure,21
P1_it1000_c1.41_mcAll_dNone_opt,P2_it1000_c1.41_mcAll_dNone_pure,P1_it1000_c1.41_mcAll_dNone_opt,P1_it1000_c1.41_mcAll_dNone_opt,17
P1_it1000_c1.41_mcAll_dNone_opt,P2_it1000_c1.41_mcAll_dNone_pure,P2_it1000_c1.41_mcAll_dNone_pure,P2_it1000_c1.41_mcAll_dNone_pure,17
P1_it1000_c1.41_mcAll_dNone_opt,P2_it1000_c1.41_mcAll_dNone_pure,P1_it1000_c1.41_mcAll_dNone_opt,P1_it1000_c1.41_mcAll_dNone_opt,17
P1_it1000_c1.41_mcAll_dNone_opt,P2_it1000_c1.41_mcAll_dNone_pure,P2_it1000_c1.41_mcAll_dNone_pure,P2_it1000_c1.41_mcAll_dNone_pure,41
P1_it1000_c1.41_mcAll_dNone_opt,P2_it1000_c1.41_mcAll_dNone_pure,P1_it1000_c1.41_mcAll_dNone_opt,P1_it1000_c1.41_mcAll_dNone_opt,7
P1_it1000_c1.41_mcAll_dNone_opt,P2_it1000_c1.41_mcAll_dNone_pure,P1_it1000_c1.41_mcAll_dNone_opt,P2_it1000_c1.41_mcAll_dNone_pure,14
P1_it1000_c1.41_mcAll_dNone_opt,P2_it1000_c1.41_mcAll_dNone_pure,P1_it1000_c1.41_mcAll_dNone_opt,P1_it1000_c1.41_mcAll_dNone_opt,7
P1_it1000_c1.41_mcAll_dNone_opt,P2_it1000_c1.41_mcAll_dNone_pure,P2_it1000_c1.41_mcAll_dNone_pure,P2_it1000_c1.41_mcAll_dNone_pure,25
P1_it1000_c1.41_mcAll_dNone_opt,P2_it1000_c1.41_mcAll_dNone_pure,P1_it1000_c1.41_mcAll_dNone_opt,P1_it1000_c1.41_mcAll_dNone_opt,7
P1_it1000_c1.41_mcAll_dNone_opt,P2_it1000_c1.41_mcAll_dNone_pure,P2_it1000_c1.41_mcAll_dNone_pure,P2_it1000_c1.41_mcAll_dNone_pure,23
P1_it1000_c1.41_mcAll_dNone_opt,P2_it1000_c1.41_mcAll_dNone_pure,P2_it1000_c1.41_mcAll_dNone_pure,P1_it1000_c1.41_mcAll_dNone_opt,16
P1_it1000_c1.41_mcAll_dNone_opt,P2_it1000_c1.41_mcAll_dNone_pure,P1_it1000_c1.41_mcAll_dNone_opt,P2_it1000_c1.41_mcAll_dNone_pure,16
P1_it1000_c1.41_mcAll_dNone_opt,P2_it1000_c1.41_mcAll_dNone_pure,P1_it1000_c1.41_mcAll_dNone_opt,P1_it1000_c1.41_mcAll_dNone_opt,9
P1_it1000_c1.41_mcAll_dNone_opt,P2_it1000_c1.41_mcAll_dNone_pure,P1_it1000_c1.41_mcAll_dNone_opt,P2_it1000_c1.41_mcAll_dNone_pure,18
P1_it1000_c1.41_mcAll_dNone_opt,P2_it1000_c1.41_mcAll_dNone_pure,P1_it1000_c1.41_mcAll_dNone_opt,P1_it1000_c1.41_mcAll_dNone_opt,7
P1_it1000_c1.41_mcAll_dNone_opt,P2_it1000_c1.41_mcAll_dNone_pure,P1_it1000_c1.41_mcAll_dNone_opt,P2_it1000_c1.41_mcAll_dNone_pure,16
P1_it1000_c1.41_mcAll_dNone_opt,P2_it1000_c1.41_mcAll_dNone_pure,P1_it1000_c1.41_mcAll_dNone_opt,P1_it1000_c1.41_mcAll_dNone_opt,7
P1_it1000_c1.41_mcAll_dNone_opt,P2_it1000_c1.41_mcAll_dNone_pure,P1_it1000_c1.41_mcAll_dNone_opt,P2_it1000_c1.41_mcAll_dNone_pure,16
P1_it1000_c1.41_mcAll_dNone_opt,P2_it1000_c1.41_mcAll_dNone_pure,P1_it1000_c1.41_mcAll_dNone_opt,P1_it1000_c1.41_mcAll_dNone_opt,19
P1_it1000_c1.41_mcAll_dNone_opt,P2_it1000_c1.41_mcAll_dNone_pure,P1_it1000_c1.41_mcAll_dNone_opt,P2_it1000_c1.41_mcAll_dNone_pure,34
P1_it1000_c1.41_mcAll_dNone_opt,P2_it1000_c1.41_mcAll_dNone_pure,P1_it1000_c1.41_mcAll_dNone_opt,P1_it1000_c1.41_mcAll_dNone_opt,7
P1_it1000_c1.41_mcAll_dNone_opt,P2_it1000_c1.41_mcAll_dNone_pure,P2_it1000_c1.41_mcAll_dNone_pure,P2_it1000_c1.41_mcAll_dNone_pure,17
P1_it1000_c1.41_mcAll_dNone_opt,P2_it1000_c1.41_mcAll_dNone_pure,P1_it1000_c1.41_mcAll_dNone_opt,P1_it1000_c1.41_mcAll_dNone_opt,7
P1_it1000_c1.41_mcAll_dNone_opt,P2_it1000_c1.41_mcAll_dNone_pure,P1_it1000_c1.41_mcAll_dNone_opt,P2_it1000_c1.41_mcAll_dNone_pure,20
P1_it1000_c1.41_mcAll_dNone_opt,P2_it1000_c1.41_mcAll_dNone_pure,P1_it1000_c1.41_mcAll_dNone_opt,P1_it1000_c1.41_mcAll_dNone_opt,7
P1_it1000_c1.41_mcAll_dNone_opt,P2_it1000_c1.41_mcAll_dNone_pure,P1_it1000_c1.41_mcAll_dNone_opt,P2_it1000_c1.41_mcAll_dNone_pure,20
P1_it1000_c1.41_mcAll_dNone_opt,P2_it1000_c1.41_mcAll_dNone_pure,P1_it1000_c1.41_mcAll_dNone_opt,P1_it1000_c1.41_mcAll_dNone_opt,7
P1_it1000_c1.41_mcAll_dNone_opt,P2_it1000_c1.41_mcAll_dNone_pure,P2_it1000_c1.41_mcAll_dNone_pure,P2_it1000_c1.41_mcAll_dNone_pure,19
P1_it1000_c1.41_mcAll_dNone_opt,P2_it1000_c1.41_mcAll_dNone_pure,P2_it1000_c1.41_mcAll_dNone_pure,P1_it1000_c1.41_mcAll_dNone_opt,26
P1_it1000_c1.41_mcAll_dNone_opt,P2_it1000_c1.41_mcAll_dNone_pure,P2_it1000_c1.41_mcAll_dNone_pure,P2_it1000_c1.41_mcAll_dNone_pure,17
